,shot_clock,pass_successful,backcourt,dist,passer_basket_dist,ball_end_basket_dist,basket_angle,closest_def_dist_passer,closest_def_dist_ball_end,closest_def_trajectory,closest_def_angle_passer,closest_def_angle_ball_end,closest_def_trajectory_angle
178,16.5,1,0,19.328780459791034,17.25911078110921,24.951494171792604,2.2587126397447306,4.83488010136756,11.623182077047574,0.47014978010144415,2.6433837465097128,2.734132244491507,3.0691996608261243
179,19.67,1,1,22.300960199995874,11.638938997176677,22.946166238868752,1.8841700217392647,6.468898959830797,16.66710091371622,0.27658982032087975,0.8187481369656979,2.4719624670078217,0.02978441958116016
180,18.97,1,1,11.087323771934326,21.299274841940044,18.54902082858823,2.5944189201804515,8.029801934419057,7.995908821322316,0.4530090784589481,2.337043785963761,2.332629297628209,0.06757993628540775
181,16.04,1,1,9.285573577291819,19.89651928289971,20.537247768678743,2.679224246140429,5.571301426578894,3.899034517992882,0.9155587998667817,2.97650903137233,2.904562561771801,2.904562561771801
182,15.88,1,1,9.15558420992347,20.3327039963331,19.12790133711746,2.6772153857568592,3.6704130505979853,9.779100664222655,3.6692854416202114,1.5955846933298237,2.756961716569486,2.756961716569486
183,12.68,1,1,15.58116558275407,19.601931448857275,12.48224472788849,2.2236747956950333,4.717974122862482,13.53355182072319,1.081959293318812,0.4693615168463073,1.7226185205229878,0.05177412659054278
184,9.72,1,1,0.8871194792698438,2.5510872835714578,1.9623737085733703,2.8438961861378593,1.2293223158309619,0.9784818502660138,0.9696158738481999,2.2328357984968545,1.7055157979759334,1.7055157979759334
185,23.38,1,0,8.396045638775435,13.105885509899743,20.290615066700173,2.874393428491259,4.746650120253228,4.658703510259054,2.1093841895293726,2.6787698018877744,2.669327916886243,0.08559608566402929
186,22.82,1,0,7.529030527664237,25.317377838457126,24.456007788608918,2.8398583526947814,5.116353204627298,4.627386079094761,3.085968565292585,2.494138369833183,2.411562115671608,2.411562115671608
187,14.0,1,1,17.44727008102987,31.353791105322497,25.109498410541782,2.5524805667488315,4.943008584141848,13.801658277297697,2.951707311586477,2.501651894484618,2.9260616922028704,2.9260616922028704
188,12.19,1,1,11.922812620225146,31.342978693500086,23.035399847091867,2.8219588873157675,5.106318884920922,5.057082272951473,1.6510106071958297,2.3817722546879163,2.8090209071337493,2.8090209071337493
189,7.48,1,1,13.691496029262103,21.876326483038692,9.202106340724391,2.774522311814007,2.738539600316191,11.2308551579833,0.9551892204875749,2.7332755684904604,3.044620053622001,0.11516859108304808
190,6.83,1,1,23.154829295170806,3.522375722179565,21.77997565927244,1.2431909540698107,5.3967303294958135,15.863800634680834,0.06735784672899656,2.2394945767116123,3.137346631424204,3.137346631424204
191,6.2,1,1,19.681967764682476,22.037638290207052,24.79173328752954,2.2815777184070405,10.001486995852167,8.343565798446132,0.3533943529508772,2.000968489597115,3.0992246648684763,3.0992246648684763
192,4.68,1,1,14.22937349524918,23.709342183571863,10.104368014131321,2.8714277113173656,5.03779837945109,4.4766545368835375,0.4627805230988273,2.7835360379617344,2.551912379548863,0.15117212568226868
193,21.83,1,1,27.862952697330908,53.647835847307014,25.785055432946038,3.1389582090666472,4.51361777806894,28.625494424671516,0.451783526726002,2.131272253474598,2.729603040287884,3.1171965365070187
194,18.7,0,0,0.0,25.566041930654812,25.566041930654812,3.141592653589793,19.823116769582427,19.823116769582427,100000.0,,,
195,9.44,1,1,17.988540050960225,26.636825302571253,17.724254447205954,2.4059911018890072,4.256008647841305,13.92280315445493,1.1061557333908232,2.878669366832471,3.0620596207965027,3.0620596207965027
196,4.48,1,1,11.203912376366572,13.6812710453744,7.4471611321160545,2.1830412864292907,2.589219156734322,8.878716185873952,1.0123665126769146,2.7398824438851888,3.0273224092353224,3.0273224092353224
197,7.5,1,1,15.452856327824964,29.80705825491674,17.05670675792956,2.751941244236412,10.299389268126536,2.9973928674933474,1.9032118712087585,2.74933937241497,2.226218132069972,0.6505223163498135
198,6.24,1,1,8.741824152257925,7.5795535300240475,5.303921031887634,1.6849922760241864,2.4782449009329164,2.2124661421364165,0.4391594795473532,0.17814663354916066,2.7093168882084404,3.1023350001802585
199,,1,1,33.612606531148394,25.693245948116406,39.931641888670185,2.1510034775354554,11.364624795962248,4.086837176509483,3.327858499311634,2.365024842804471,2.1900928013618124,2.1900928013618124
